,no_bathroom,condition,district,price,no_rooms,ref,estate_type,area,altitude,energy_efficiency,longitude,area_total,area_usage
1341,4.0,Construção,Avenidas Novas,1400000.0,4.0,265190118,Apartamento,Avenidas Novas,-9.1471513,,38.7410926,173.3,161.0
1342,5.0,Construção,Avenidas Novas,1400000.0,4.0,265190119,Apartamento,Avenidas Novas,-9.1471513,,38.7410926,197.25,178.0
1343,3.0,Construção,Avenidas Novas,950000.0,2.0,265190120,Duplex,Avenidas Novas,-9.1471513,,38.7410926,145.1,144.0
1344,2.0,Construção,Avenidas Novas,630000.0,2.0,265190121,Apartamento,Avenidas Novas,-9.1471513,,38.7410926,104.0,93.0
1345,2.0,Construção,Avenidas Novas,740000.0,2.0,265190122,Apartamento,Avenidas Novas,-9.1471513,,38.7410926,129.9,117.0
1346,1.0,Construção,Avenidas Novas,425000.0,1.0,265190123,Apartamento,Avenidas Novas,-9.1471513,,38.7410926,57.9,57.0
1347,1.0,Construção,Avenidas Novas,370000.0,1.0,265190124,Apartamento,Avenidas Novas,-9.1471513,,38.7410926,64.35,57.0
1348,1.0,Construção,Avenidas Novas,380000.0,1.0,265190125,Apartamento,Avenidas Novas,-9.1471513,,38.7410926,63.55,57.0
1349,2.0,Construção,Avenidas Novas,690000.0,2.0,265190126,Apartamento,Avenidas Novas,-9.1471513,,38.7410926,104.0,93.0
1350,2.0,Construção,Avenidas Novas,675000.0,2.0,265190127,Apartamento,Avenidas Novas,-9.1471513,,38.7410926,104.0,93.0
1351,2.0,Construção,Avenidas Novas,760000.0,2.0,265190128,Apartamento,Avenidas Novas,-9.1471513,,38.7410926,129.9,117.0
1352,2.0,Construção,Avenidas Novas,750000.0,2.0,265190129,Apartamento,Avenidas Novas,-9.1471513,,38.7410926,129.9,117.0
1353,1.0,Construção,Avenidas Novas,430000.0,1.0,265190130,Apartamento,Avenidas Novas,-9.1471513,,38.7410926,64.35,57.0
1354,1.0,Construção,Avenidas Novas,420000.0,1.0,265190131,Apartamento,Avenidas Novas,-9.1471513,,38.7410926,64.35,57.0
1355,1.0,Construção,Avenidas Novas,410000.0,1.0,265190132,Apartamento,Avenidas Novas,-9.1471513,,38.7410926,64.35,57.0
1356,,Construção,Avenidas Novas,400000.0,1.0,265190133,Apartamento,Avenidas Novas,-9.1471513,,38.7410926,64.35,57.0
1357,1.0,Construção,Avenidas Novas,390000.0,1.0,265190134,Apartamento,Avenidas Novas,-9.1471513,,38.7410926,64.35,57.0
1358,1.0,Construção,Avenidas Novas,380000.0,1.0,265190135,Apartamento,Avenidas Novas,-9.1471513,,38.7410926,64.35,57.0
1365,2.0,Usado,Alvalade,585000.0,3.0,265190150,Apartamento,Bairro de São Miguel,-9.093761,D,38.76787,150.0,138.0
1366,1.0,Usado,Marvila,150000.0,3.0,265190151,Apartamento,Marvila,-9.10697937005432,F,38.7418332673775,85.0,80.0
1367,1.0,Usado,Avenidas Novas,290000.0,,265190152,Escritório,Avenidas Novas,-9.1471513,C,38.7410926,57.0,46.0
1368,2.0,Usado,Avenidas Novas,440000.0,,265190153,Escritório,Avenidas Novas,-9.1471513,C,38.7410926,99.0,91.0
1369,,Novo,Avenidas Novas,22500.0,,265190157,Garagem,,-9.1471513,,38.7410926,12.5,12.0
1370,,Novo,Avenidas Novas,22500.0,,265190158,Garagem,Avenidas Novas,-9.1471513,,38.7410926,12.5,12.0
1374,1.0,Novo,Areeiro,310000.0,1.0,265190162,Apartamento,AREEIRO/CAMPO PEQUENO,-9.1407589,,38.7451578,67.5,40.0
1375,2.0,Renovado,Avenidas Novas,685000.0,3.0,265190163,Apartamento,Avenida da República,-9.1471513,F,38.7410926,98.0,92.0
1377,1.0,Renovado,Alvalade,330000.0,2.0,265190167,Apartamento,Alvalade,-9.093761,E,38.76787,55.0,50.0
1378,1.0,Usado,Avenidas Novas,370000.0,1.0,265190168,Apartamento,Entrecampos,-9.1471513,,38.7410926,56.0,46.0
1379,1.0,Usado,Alvalade,235000.0,1.0,265190169,Apartamento,Alvalade,-9.093761,F,38.76787,80.0,70.0
1380,2.0,Usado,Alvalade,800000.0,3.0,265190171,Apartamento,Alvalade,-9.093761,D,38.76787,143.0,139.0
1381,,Usado,Arroios,150000.0,,267150099,Escritório,,-9.1326749,,38.7223319,45.0,
1382,11.0,Usado,Penha de França,1500000.0,,267150128,Escritório,Penha de França,-9.12275614738462,,38.7259997649259,1035.0,
1383,1.0,Usado,Arroios,380000.0,2.0,267150332,Apartamento,,-9.1326749,B,38.7223319,93.5,85.0
1384,,Novo,Penha de França,20000.0,,267160036,Garagem,Penha de França,-9.12275614738462,,38.7259997649259,5.0,5.0
1385,,Novo,Penha de França,20000.0,,267160037,Garagem,,-9.12275614738462,,38.7259997649259,5.0,5.0
1386,,Novo,Penha de França,20000.0,,267160038,Garagem,,-9.12275614738462,,38.7259997649259,5.0,5.0
1387,2.0,Novo,Arroios,405000.0,4.0,267160087,Apartamento,,-9.1326749,,38.7223319,149.1,
1388,,Usado,Arroios,2000000.0,,267160146,Prédio,,-9.1326749,,38.7223319,520.0,494.0
1389,1.0,Usado,Arroios,395000.0,4.0,267170138,Apartamento,,-9.1326749,,38.7223319,115.0,115.0
1390,,Usado,São Vicente,1390000.0,,267170172,Prédio,,-9.1292361,,38.7195503,400.0,380.0
1391,,Usado,São Vicente,250000.0,4.0,267170173,Apartamento,,-9.1292361,,38.7195503,65.0,61.0
1392,,Usado,São Vicente,275000.0,4.0,267170174,Apartamento,,-9.1292361,,38.7195503,78.0,74.0
1395,,Usado,São Vicente,300000.0,3.0,267170177,Apartamento,,-9.1292361,,38.7195503,65.0,61.0
1396,,Usado,Arroios,2500000.0,,267180018,Prédio,Arroios,-9.1326749,,38.7223319,870.39,826.0
1397,1.0,Usado,Penha de França,250000.0,4.0,267180053,Apartamento,,-9.12275614738462,,38.7259997649259,94.0,89.0
1398,1.0,Usado,Penha de França,199000.0,1.0,267180064,Apartamento,,-9.12275614738462,C,38.7259997649259,45.0,37.0
1399,1.0,Novo,Arroios,322500.0,2.0,267180068,Apartamento,Bairro das Colónias,-9.1326749,C,38.7223319,56.5,53.0
1400,1.0,Usado,Arroios,102000.0,,267180086,Loja,,-9.1326749,,38.7223319,33.0,30.0
1401,1.0,Usado,Arroios,550000.0,2.0,267180111,Apartamento,Arroios,-9.1326749,,38.7223319,66.0,60.0
1402,,Usado,Arroios,465000.0,,267180128,Loja,,-9.1326749,B,38.7223319,320.0,288.0
1403,4.0,Usado,Arroios,1500000.0,7.0,267180132,Duplex,Arroios,-9.1326749,,38.7223319,360.0,280.0
1404,1.0,Novo,Penha de França,230000.0,,267180143,Loja,,-9.12275614738462,,38.7259997649259,102.5,87.0
1405,1.0,Usado,Arroios,430000.0,,267180154,Loja,,-9.1326749,,38.7223319,480.0,480.0
1406,3.0,Novo,São Vicente,450000.0,2.0,267180163,Apartamento,,-9.1292361,B,38.7195503,153.0,135.0
1407,1.0,Novo,Arroios,262500.0,1.0,267180167,Apartamento,,-9.1326749,C,38.7223319,49.0,43.0
1408,2.0,Usado,Penha de França,295000.0,3.0,267180168,Apartamento,Penha de França,-9.12275614738462,,38.7259997649259,89.0,65.0
1409,1.0,Novo,Arroios,390000.0,,267180169,Loja,,-9.1326749,D,38.7223319,200.0,200.0
1411,2.0,Usado,Penha de França,199500.0,4.0,267180176,Escritório,,-9.12275614738462,,38.7259997649259,103.0,93.0
